origin,refugees
Afghanistan,10922
Albania,59
Algeria,10
American Samoa,0
Andorra,0
Angola,1
Antigua and Barbuda,0
Argentina,1
Armenia,1
Australia,0
Austria,0
Azerbaijan,9
Bahamas,0
Bahrain,97
Bangladesh,434
Barbados,0
Belarus,7
Belgium,0
Belize,0
Benin,1
Bhutan,3
Bolivia,0
Bosnia and Herzegovina,0
Botswana,1
Brazil,3
Brunei,0
Bulgaria,0
Burkina Faso,0
Burma,516
Burundi,50
Cambodia,31
Cameroon,42
Canada,0
Cape Verde,0
Central African Republic,1
Chad,3
Chile,0
China,2543
"China, Hong Kong SAR",3
Colombia,116
Comoros,0
Congo,13
Cook Islands,0
Costa Rica,0
Croatia,0
Cuba,1
Cyprus,0
Czech Republic,1
Democratic Republic of the Congo,48
Denmark,0
Djibouti,3
Dominica,0
Ecuador,2
Egypt,1560
El Salvador,10
Eritrea,138
Estonia,1
Ethiopia,282
Federated States of Micronesia,0
Fiji,406
Finland,0
France,1
Gabon,0
Gambia,8
Georgia,16
Germany,5
Ghana,32
Greece,6
Grenada,0
Guatemala,1
Guinea,12
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,3
Hungary,0
Iceland,0
India,388
Indonesia,205
Iran,8077
Iraq,4042
Ireland,0
Israel,15
Italy,5
Ivory Coast,5
Jamaica,3
Japan,10
Jordan,149
Kazakhstan,7
Kenya,117
Kiribati,0
Kuwait,54
Kyrgyzstan,14
Laos,3
Latvia,0
Lebanon,548
Lesotho,0
Liberia,37
Libya,992
Lithuania,0
Luxembourg,0
Macedonia,4
Madagascar,0
Malawi,0
Malaysia,240
Maldives,10
Mali,0
Malta,0
Mauritania,0
Mauritius,7
Mexico,10
Moldova,0
Mongolia,27
Montenegro,0
Morocco,12
Mozambique,4
Namibia,0
Nauru,0
Nepal,182
Netherlands,2
Netherlands Antilles,0
New Zealand,26
Nicaragua,0
Niger,1
Nigeria,187
Niue,0
North Korea,19
Norway,0
Oman,3
Pakistan,4496
Palau,0
Palestine,378
Panama,0
Papua New Guinea,396
Paraguay,0
Peru,9
Philippines,51
Poland,1
Portugal,0
Puerto Rico,0
Qatar,0
Romania,9
Russia,55
Rwanda,64
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,1
Sao Tome and Principe,0
Saudi Arabia,94
Senegal,2
Serbia,4
Seychelles,0
Sierra Leone,29
Singapore,6
Slovakia,0
Slovenia,0
Solomon Islands,21
Somalia,139
South Africa,36
South Korea,45
South Sudan,7
Spain,0
Sri Lanka,4489
Stateless,2609
Sudan,239
Suriname,0
Swaziland,0
Sweden,1
Switzerland,0
Syria,477
Tajikistan,1
Tanzania,14
Thailand,15
Tibet,17
Timor-Leste,8
Togo,3
Tonga,34
Trinidad and Tobago,0
Tunisia,5
Turkey,476
Turkmenistan,2
Tuvalu,0
Uganda,65
Ukraine,18
United Arab Emirates,7
United Kingdom,5
United States,20
Uruguay,0
Uzbekistan,29
Vanuatu,1
Various/Unknown,47
Venezuela,26
Vietnam,200
Yemen,27
Zambia,10
Zimbabwe,986
